image_path,mask_path,file_class,true_class,true_class_id,mask_area,conflict
/workspace/dataset/train/images/malignant (86).png,/workspace/dataset/train/masks/malignant (86)_mask.png,Malignant,Malignant,1,82710,False
/workspace/dataset/train/images/benign (26).png,/workspace/dataset/train/masks/benign (26)_mask.png,Benign,Malignant,1,33610,True
/workspace/dataset/train/images/benign (268).png,/workspace/dataset/train/masks/benign (268)_mask.png,Benign,Malignant,1,15243,True
/workspace/dataset/train/images/benign (144).png,/workspace/dataset/train/masks/benign (144)_mask.png,Benign,Malignant,1,1256,True
/workspace/dataset/train/images/normal (14).png,/workspace/dataset/train/masks/normal (14)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (129).png,/workspace/dataset/train/masks/malignant (129)_mask.png,Malignant,Malignant,1,103510,False
/workspace/dataset/train/images/malignant (79).png,/workspace/dataset/train/masks/malignant (79)_mask.png,Malignant,Malignant,1,42462,False
/workspace/dataset/train/images/normal (84).png,/workspace/dataset/train/masks/normal (84)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (274).png,/workspace/dataset/train/masks/benign (274)_mask.png,Benign,Malignant,1,37185,True
/workspace/dataset/train/images/benign (312).png,/workspace/dataset/train/masks/benign (312)_mask.png,Benign,Malignant,1,39724,True
/workspace/dataset/train/images/benign (40).png,/workspace/dataset/train/masks/benign (40)_mask.png,Benign,Malignant,1,8589,True
/workspace/dataset/train/images/benign (183).png,/workspace/dataset/train/masks/benign (183)_mask.png,Benign,Malignant,1,4710,True
/workspace/dataset/train/images/benign (395).png,/workspace/dataset/train/masks/benign (395)_mask.png,Benign,Malignant,1,41982,True
/workspace/dataset/train/images/malignant (87).png,/workspace/dataset/train/masks/malignant (87)_mask.png,Malignant,Malignant,1,30544,False
/workspace/dataset/train/images/malignant (48).png,/workspace/dataset/train/masks/malignant (48)_mask.png,Malignant,Malignant,1,12628,False
/workspace/dataset/train/images/benign (228).png,/workspace/dataset/train/masks/benign (228)_mask.png,Benign,Malignant,1,30588,True
/workspace/dataset/train/images/benign (406).png,/workspace/dataset/train/masks/benign (406)_mask.png,Benign,Malignant,1,38429,True
/workspace/dataset/train/images/benign (56).png,/workspace/dataset/train/masks/benign (56)_mask.png,Benign,Malignant,1,34453,True
/workspace/dataset/train/images/benign (257).png,/workspace/dataset/train/masks/benign (257)_mask.png,Benign,Malignant,1,4357,True
/workspace/dataset/train/images/benign (367).png,/workspace/dataset/train/masks/benign (367)_mask.png,Benign,Malignant,1,33369,True
/workspace/dataset/train/images/benign (39).png,/workspace/dataset/train/masks/benign (39)_mask.png,Benign,Malignant,1,5658,True
/workspace/dataset/train/images/benign (221).png,/workspace/dataset/train/masks/benign (221)_mask.png,Benign,Malignant,1,2110,True
/workspace/dataset/train/images/normal (96).png,/workspace/dataset/train/masks/normal (96)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/malignant (80).png,/workspace/dataset/train/masks/malignant (80)_mask.png,Malignant,Malignant,1,28029,False
/workspace/dataset/train/images/benign (169).png,/workspace/dataset/train/masks/benign (169)_mask.png,Benign,Malignant,1,1396,True
/workspace/dataset/train/images/benign (127).png,/workspace/dataset/train/masks/benign (127)_mask.png,Benign,Malignant,1,4330,True
/workspace/dataset/train/images/benign (36).png,/workspace/dataset/train/masks/benign (36)_mask.png,Benign,Malignant,1,25483,True
/workspace/dataset/train/images/malignant (56).png,/workspace/dataset/train/masks/malignant (56)_mask.png,Malignant,Malignant,1,70542,False
/workspace/dataset/train/images/benign (380).png,/workspace/dataset/train/masks/benign (380)_mask.png,Benign,Malignant,1,7296,True
/workspace/dataset/train/images/benign (175).png,/workspace/dataset/train/masks/benign (175)_mask.png,Benign,Malignant,1,22507,True
/workspace/dataset/train/images/benign (96).png,/workspace/dataset/train/masks/benign (96)_mask.png,Benign,Malignant,1,60695,True
/workspace/dataset/train/images/normal (108).png,/workspace/dataset/train/masks/normal (108)_mask.png,Normal,Normal,2,0,False
/workspace/dataset/train/images/benign (117).png,/workspace/dataset/train/masks/benign (117)_mask.png,Benign,Malignant,1,13557,True
/workspace/dataset/train/images/benign (316).png,/workspace/dataset/train/masks/benign (316)_mask.png,Benign,Malignant,1,91164,True
/workspace/dataset/train/images/benign (123).png,/workspace/dataset/train/masks/benign (123)_mask.png,Benign,Malignant,1,22304,True
/workspace/dataset/train/images/malignant (138).png,/workspace/dataset/train/masks/malignant (138)_mask.png,Malignant,Malignant,1,31109,False
/workspace/dataset/train/images/benign (251).png,/workspace/dataset/train/masks/benign (251)_mask.png,Benign,Malignant,1,3811,True
/workspace/dataset/train/images/malignant (159).png,/workspace/dataset/train/masks/malignant (159)_mask.png,Malignant,Malignant,1,57045,False
/workspace/dataset/train/images/malignant (70).png,/workspace/dataset/train/masks/malignant (70)_mask.png,Malignant,Malignant,1,16182,False
/workspace/dataset/train/images/benign (262).png,/workspace/dataset/train/masks/benign (262)_mask.png,Benign,Malignant,1,42646,True
/workspace/dataset/train/images/malignant (176).png,/workspace/dataset/train/masks/malignant (176)_mask.png,Malignant,Malignant,1,40621,False
/workspace/dataset/train/images/normal (83).png,/workspace/dataset/train/masks/normal (83)_mask.png,Normal,Normal,2,0,False
